ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Location,long_1_Location,accuracy_1_Location,UTM_Northing_1_Location,UTM_Easting_1_Location,UTM_Zone_1_Location,2_Tree_Number,3_PlantType,4_Tree_Species,5_Height,6_GBH,7_Bark_Photo,8_Leaf_Photo,9_Height_Photo,10_Health_of_the_tre,11_habitat_yesno,12_environmental_str
a29d30f7-92da-484e-ae36-eded8877e439,2026-07-11T06:00:54.000Z,2026-07-11T16:22:36.000Z,kishorsurwade20@gmail.com,"Ashok tree Healthy",20.014044,73.821959,4,2213469,376774,43Q,200,"Tree ","Ashok tree",7,43,a29d30f7-92da-484e-ae36-eded8877e439_1783749612.jpg,a29d30f7-92da-484e-ae36-eded8877e439_1783749626.jpg,a29d30f7-92da-484e-ae36-eded8877e439_1783749637.jpg,"Healthy ",Yes,"cutting "
d45c7af0-ea11-42ba-b0f2-d2c0a194b7d3,2026-07-11T06:02:38.000Z,2026-07-11T16:22:29.000Z,kishorsurwade20@gmail.com,"Ashok tree Healthy",20.013976,73.821865,3,2213461,376765,43Q,202,"Tree ","Ashok tree",9,50,d45c7af0-ea11-42ba-b0f2-d2c0a194b7d3_1783749734.jpg,d45c7af0-ea11-42ba-b0f2-d2c0a194b7d3_1783749742.jpg,d45c7af0-ea11-42ba-b0f2-d2c0a194b7d3_1783749750.jpg,"Healthy ",Yes,"cutting "
21b404a6-756c-48aa-b426-d67674bae1fb,2026-07-11T06:04:27.000Z,2026-07-11T16:22:21.000Z,kishorsurwade20@gmail.com,"Ashok tree Healthy",20.013902,73.821716,4,2213453,376749,43Q,203,"Tree ","Ashok tree",6,45,21b404a6-756c-48aa-b426-d67674bae1fb_1783749841.jpg,21b404a6-756c-48aa-b426-d67674bae1fb_1783749847.jpg,21b404a6-756c-48aa-b426-d67674bae1fb_1783749859.jpg,"Healthy ",Yes,"cutting "
3f22d60f-8c5c-4904-afbe-c70700deae96,2026-07-11T06:06:14.000Z,2026-07-11T16:22:14.000Z,kishorsurwade20@gmail.com,"Ashok tree Healthy",20.013861,73.821568,3,2213449,376733,43Q,204,"Tree ","Ashok tree",9,57,3f22d60f-8c5c-4904-afbe-c70700deae96_1783749946.jpg,3f22d60f-8c5c-4904-afbe-c70700deae96_1783749953.jpg,3f22d60f-8c5c-4904-afbe-c70700deae96_1783749966.jpg,"Healthy ",Yes,"cutting "
6866b796-58eb-4ec3-a0c4-b3670b6b0c92,2026-07-11T07:44:19.000Z,2026-07-11T16:22:06.000Z,kishorsurwade20@gmail.com,"Palm Tree Healthy",20.012813,73.822283,6,2213332,376807,43Q,301,"Tree ","Palm Tree",12,180,6866b796-58eb-4ec3-a0c4-b3670b6b0c92_1783755815.jpg,6866b796-58eb-4ec3-a0c4-b3670b6b0c92_1783755832.jpg,6866b796-58eb-4ec3-a0c4-b3670b6b0c92_1783755852.jpg,"Healthy ",Yes,"cutting "
13f7b584-746c-4675-a2b8-3ec48fb80871,2026-07-11T07:45:29.000Z,2026-07-11T16:21:58.000Z,kishorsurwade20@gmail.com,"PalmTree Healthy",20.012823,73.822267,4,2213333,376806,43Q,302,"Tree ",PalmTree,10,210,13f7b584-746c-4675-a2b8-3ec48fb80871_1783755902.jpg,13f7b584-746c-4675-a2b8-3ec48fb80871_1783755910.jpg,13f7b584-746c-4675-a2b8-3ec48fb80871_1783755921.jpg,"Healthy ",Yes,"cutting "
b3a2ca2a-0ef4-497c-a2f6-8b552e3cc94f,2026-07-11T07:46:35.000Z,2026-07-11T16:21:49.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012782,73.822147,5,2213329,376793,43Q,303,"Tree ","Palm tree",8,167,b3a2ca2a-0ef4-497c-a2f6-8b552e3cc94f_1783755971.jpg,b3a2ca2a-0ef4-497c-a2f6-8b552e3cc94f_1783755978.jpg,b3a2ca2a-0ef4-497c-a2f6-8b552e3cc94f_1783755987.jpg,"Healthy ",Yes,"cutting "
346ddbd4-6bfb-4bbd-b9cc-332012310a42,2026-07-11T07:48:02.000Z,2026-07-11T16:21:41.000Z,kishorsurwade20@gmail.com,"Palm Tree Healthy",20.012816,73.822028,3,2213333,376781,43Q,304,"Tree ","Palm Tree",10,181,346ddbd4-6bfb-4bbd-b9cc-332012310a42_1783756054.jpg,346ddbd4-6bfb-4bbd-b9cc-332012310a42_1783756063.jpg,346ddbd4-6bfb-4bbd-b9cc-332012310a42_1783756074.jpg,"Healthy ",Yes,"cutting "
52f31a4b-8044-45ab-a70c-4728b78bb171,2026-07-11T07:49:29.000Z,2026-07-11T16:21:34.000Z,kishorsurwade20@gmail.com,"Palm Tree Healthy",20.012786,73.821961,4,2213329,376774,43Q,305,"Tree ","Palm Tree",7,173,52f31a4b-8044-45ab-a70c-4728b78bb171_1783756142.jpg,52f31a4b-8044-45ab-a70c-4728b78bb171_1783756149.jpg,52f31a4b-8044-45ab-a70c-4728b78bb171_1783756157.jpg,"Healthy ",Yes,"cutting "
4367bc46-9edb-4442-b0c9-7b5e53bf3c9b,2026-07-11T07:52:24.000Z,2026-07-11T16:21:26.000Z,kishorsurwade20@gmail.com,"Plam Tree Healthy",20.012749,73.821862,4,2213325,376763,43Q,306,"Tree ","Plam Tree",12,166,4367bc46-9edb-4442-b0c9-7b5e53bf3c9b_1783756313.jpg,4367bc46-9edb-4442-b0c9-7b5e53bf3c9b_1783756329.jpg,4367bc46-9edb-4442-b0c9-7b5e53bf3c9b_1783756337.jpg,"Healthy ",Yes,"cutting "
fc68ef17-20f6-4776-a20a-7a6913abb88a,2026-07-11T07:53:49.000Z,2026-07-11T16:21:18.000Z,kishorsurwade20@gmail.com,"Plam Tree Healthy",20.012775,73.821847,4,2213328,376762,43Q,307,"Tree ","Plam Tree",8,150,fc68ef17-20f6-4776-a20a-7a6913abb88a_1783756398.jpg,fc68ef17-20f6-4776-a20a-7a6913abb88a_1783756404.jpg,fc68ef17-20f6-4776-a20a-7a6913abb88a_1783756416.jpg,"Healthy ",Yes,"cutting "
4adb1146-bbfe-43c2-a495-43a38a3b4a79,2026-07-11T07:56:32.000Z,2026-07-11T16:21:09.000Z,kishorsurwade20@gmail.com,"Rain tree Healthy",20.012715,73.821734,6,2213322,376750,43Q,308,"Tree ","Rain tree",16,320,4adb1146-bbfe-43c2-a495-43a38a3b4a79_1783756558.jpg,4adb1146-bbfe-43c2-a495-43a38a3b4a79_1783756566.jpg,4adb1146-bbfe-43c2-a495-43a38a3b4a79_1783756584.jpg,"Healthy ",Yes,"cutting "
c1680972-e05a-47f5-8fdc-78777dba9dac,2026-07-11T07:58:38.000Z,2026-07-11T16:21:01.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012784,73.821735,4,2213329,376750,43Q,308,"Tree ","Palm tree",10,143,c1680972-e05a-47f5-8fdc-78777dba9dac_1783756675.jpg,c1680972-e05a-47f5-8fdc-78777dba9dac_1783756685.jpg,c1680972-e05a-47f5-8fdc-78777dba9dac_1783756709.jpg,"Healthy ",Yes,"cutting "
02adfb85-11db-4bf2-a3cc-d37ca054544a,2026-07-11T07:59:51.000Z,2026-07-11T16:20:53.000Z,kishorsurwade20@gmail.com,"Coconut Tree Healthy",20.012719,73.821636,4,2213322,376740,43Q,309,"Tree ","Coconut Tree",12,90,02adfb85-11db-4bf2-a3cc-d37ca054544a_1783756767.jpg,02adfb85-11db-4bf2-a3cc-d37ca054544a_1783756774.jpg,02adfb85-11db-4bf2-a3cc-d37ca054544a_1783756784.jpg,"Healthy ",Yes,"cutting "
145ce719-27b3-4a85-a405-6fc8e862426c,2026-07-11T08:01:51.000Z,2026-07-11T16:20:45.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.012745,73.821612,3,2213325,376737,43Q,310,"Tree ",Palm,9,170,145ce719-27b3-4a85-a405-6fc8e862426c_1783756882.jpg,145ce719-27b3-4a85-a405-6fc8e862426c_1783756891.jpg,145ce719-27b3-4a85-a405-6fc8e862426c_1783756903.jpg,"Healthy ",Yes,"cutting "
9f531b2e-1914-4e2e-9bf1-d8947f77b469,2026-07-11T08:03:21.000Z,2026-07-11T16:20:37.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.012752,73.821587,3,2213326,376735,43Q,311,"Tree ",Palm,3,50,9f531b2e-1914-4e2e-9bf1-d8947f77b469_1783756968.jpg,9f531b2e-1914-4e2e-9bf1-d8947f77b469_1783756975.jpg,9f531b2e-1914-4e2e-9bf1-d8947f77b469_1783756992.jpg,"Healthy ",Yes,"cutting "
8f58a9e1-a559-4d68-a805-d999e3801729,2026-07-11T08:04:50.000Z,2026-07-11T16:20:29.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.012802,73.821462,5,2213331,376722,43Q,312,"Tree ",Palm,10,134,8f58a9e1-a559-4d68-a805-d999e3801729_1783757062.jpg,8f58a9e1-a559-4d68-a805-d999e3801729_1783757069.jpg,8f58a9e1-a559-4d68-a805-d999e3801729_1783757080.jpg,"Healthy ",Yes,"cutting "
bc5d6298-fa8e-4dac-b71d-3d10006fea1f,2026-07-11T08:05:47.000Z,2026-07-11T16:20:22.000Z,kishorsurwade20@gmail.com,"Coconut Healthy",20.012703,73.821507,5,2213320,376726,43Q,313,"Tree ",Coconut,13,193,bc5d6298-fa8e-4dac-b71d-3d10006fea1f_1783757121.jpg,bc5d6298-fa8e-4dac-b71d-3d10006fea1f_1783757132.jpg,bc5d6298-fa8e-4dac-b71d-3d10006fea1f_1783757140.jpg,"Healthy ",Yes,"cutting "
6581252d-ff7b-4a10-9fcb-b3ef00ae4547,2026-07-11T08:07:01.000Z,2026-07-11T16:20:14.000Z,kishorsurwade20@gmail.com,"Coconut Healthy",20.012662,73.821447,4,2213316,376720,43Q,314,"Tree ",Coconut,14,142,6581252d-ff7b-4a10-9fcb-b3ef00ae4547_1783757197.jpg,6581252d-ff7b-4a10-9fcb-b3ef00ae4547_1783757204.jpg,6581252d-ff7b-4a10-9fcb-b3ef00ae4547_1783757212.jpg,"Healthy ",Yes,"cutting "
19e72136-942a-4979-a57f-529a171f76e5,2026-07-11T08:08:35.000Z,2026-07-11T16:20:06.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.01265,73.82138,3,2213315,376713,43Q,315,"Tree ",Palm,7,127,19e72136-942a-4979-a57f-529a171f76e5_1783757286.jpg,19e72136-942a-4979-a57f-529a171f76e5_1783757292.jpg,19e72136-942a-4979-a57f-529a171f76e5_1783757307.jpg,"Healthy ",Yes,"cutting "
5d6eae07-a243-40d2-abaa-b9a187e67753,2026-07-11T08:10:35.000Z,2026-07-11T16:19:58.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.012724,73.821297,4,2213323,376704,43Q,316,"Tree ",Palm,5,119,5d6eae07-a243-40d2-abaa-b9a187e67753_1783757410.jpg,5d6eae07-a243-40d2-abaa-b9a187e67753_1783757419.jpg,5d6eae07-a243-40d2-abaa-b9a187e67753_1783757428.jpg,"Healthy ",Yes,"cutting "
4aa35b57-be79-4903-9348-0c4b40da78e9,2026-07-11T08:11:50.000Z,2026-07-11T16:19:50.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.012676,73.821303,4,2213318,376705,43Q,317,"Tree ",Palm,5,86,4aa35b57-be79-4903-9348-0c4b40da78e9_1783757482.jpg,4aa35b57-be79-4903-9348-0c4b40da78e9_1783757492.jpg,4aa35b57-be79-4903-9348-0c4b40da78e9_1783757504.jpg,"Healthy ",Yes,"cutting "
